"id","nama_produk","brand_produk","harga_retail","link_gambar","harga_original","diskon"
28,"ASICS Gel-Kayano 14 White Midnight (Women's)","ASICS",2750000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzYxMDUyL2FjOGRkYWRkN2Y4N2NjZTI3M2MyMTNmNDQ3YjBmNzQ3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",2970000.0,7.41
29,"Puma Speedcat Ballet Venus Gray Sky (Women's)","Puma",1630000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NDA2Mi8wNzE3NjZjMDJjYmI0YjA3Mjc5OTFjZDAyZmNjNDliNC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1650000.0,1.21
30,"Adidas Samba Jane Maroon Cream White Gold Metallic (Women's)","Adidas",1950000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NDM0Ni8xNmQzNDc3ZTM0MzA3ZTFjYTJhNjM1Nzk5MDlkYWMyNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
31,"Nike Air Force 1 '07 White (Women's)","Nike",650000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE2ODgyLzQ1ODlhZjkwZDg4YzgzOTUzNWVhYWE3NTQ2Y2U5NmI2LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",1485000.0,56.23
32,"Puma Speedcat Ballet For All Time Red (Women's)","Puma",1060000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzMTU0OS8zMWNlY2E0MzVhZmI1ZjRiMWIzNTk0MGUyNTAyYzdhNi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
33,"Nike Dunk Low Next Nature White Mint (Women's)","Nike",940000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzMyNjI1LzIzNTM1ZWU0MzNkMDcwNGJkOWE2MGIzYmQ0YzgwMDRjLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",1549000.0,39.32
34,"Nike P-6000 Platinum Violet Vast Grey (Women's)","Nike",1490000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyNjEyNS8yYTU2NGJjODU1N2ZkZTFkYTU0NDM5OTNmMWI1OWIxYS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
35,"Vans Premium Mary Jane Lowpro Jet Set Black (Women's)","Vans",730000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MjY3MS81NjhjMmQyYjk3NzNjZWRiOTgwYzJhNjE2YmEzMGViNC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
36,"Adidas Handball Spezial Green Pink Velvet (Women's)","Adidas",1460000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExODUzOS9jMTM1MGY4MjgxNDk5ZDk5OGU0ZDFhN2U5NTI1NTBiOS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
37,"Puma Speedcat Premium Rosé Black (Women's)","Puma",3630000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0MDczMC9mOWJiOTgyOGVlMWZjOWU4MmVlODM2MDIwNTQ3YjQ3NS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
